T) Partnerships with What Organization Types?
Four-year institutions of higher education
Four-year institutions of higher education
Four-year institutions of higher education
Four-year institutions of higher education
Four-year institutions of higher education
Four-year institutions of higher education
Other
Four-year institutions of higher education
Not applicable
Four-year institutions of higher education
Four-year institutions of higher education

Four-year institutions of higher education
Four-year institutions of higher education
Other
Not applicable

Four-year institutions of higher education

Four-year institutions of higher education
Four-year institutions of higher education
Not applicable
Two-year institution of higher education or community college




Four-year institutions of higher education

School district or school
Four-year institutions of higher education
Four-year institutions of higher education


Four-year institutions of higher education
Four-year institutions of higher education
Not applicable

Two-year institution of higher education or community college
Four-year institutions of higher education
Minority institution (MI)


Four-year institutions of higher education
Four-year institutions of higher education



Two-year institution of higher education or community college
Four-year institutions of higher education
Local education agency
Four-year institutions of higher education
Four-year institutions of higher education
Four-year institutions of higher education


State systems of higher education
Four-year institutions of higher education

School district or school
Four-year institutions of higher education
Not applicable
Not applicable
Not applicable
Four-year institutions of higher education
Four-year institutions of higher education
Four-year institutions of higher education
Four-year institutions of higher education


Four-year institutions of higher education

State education agency

Minority institution (MI)
Two-year institution of higher education or community college
Four-year institutions of higher education

Four-year institutions of higher education
Four-year institutions of higher education



Professional society

Four-year institutions of higher education
Four-year institutions of higher education
Four-year institutions of higher education
Federally funded research and development center
Four-year institutions of higher education


Four-year institutions of higher education



Four-year institutions of higher education

Four-year institutions of higher education

Two-year institution of higher education or community college


School district or school

Four-year institutions of higher education


Federal agency





Four-year institutions of higher education


Four-year institutions of higher education
Informal education institution or organization




Four-year institutions of higher education











Not applicable



Not applicable



Not applicable
Not applicable
State education agency
Four-year institutions of higher education
Four-year institutions of higher education
Four-year institutions of higher education
Four-year institutions of higher education
Not applicable
Two-year institution of higher education or community college
Not applicable
Minority institution (MI)
Four-year institutions of higher education

Not applicable
Four-year institutions of higher education
Four-year institutions of higher education



Four-year institutions of higher education







Professional society











Four-year institutions of higher education






Not applicable







Other



Four-year institutions of higher education



Four-year institutions of higher education

Four-year institutions of higher education
Four-year institutions of higher education

Four-year institutions of higher education

Four-year institutions of higher education




Four-year institutions of higher education

Four-year institutions of higher education


Four-year institutions of higher education
State systems of higher education
Not applicable


Four-year institutions of higher education


Four-year institutions of higher education





Four-year institutions of higher education








Four-year institutions of higher education
Four-year institutions of higher education

Four-year institutions of higher education
